"SQV"
37.8
156
145.6
13
100
400
400
0.7
74
41
11.6
32.5
42.1
33
65
2.2
33.2
34
400
1.1
16.9
1.3
1
340
71
290
200
3.8
164
46
400
1.1
0.8
9.2
0.6
208.7
1.1
132
9.4
130
184
85
3.4
322
73
1.5
0.9
1.9
9.4
1
0.8
1.1
0.7
20
38
24
0.9
400
147
400
6.4
27
3.5
2.2
2.7
82
104.8
0.9
41
7.4
33
57
3.4
7.9
1.5
2.5
0.4
58
0.8
62
1.2
0.5
1.2
1.1
0.9
0.8
0.7
18
22
10
2.3
2
0.9
26
3.2
133
25
0.6
3.8
92
0.7
53
23.8
1.9
400
306
20
1.2
70
13
0.6
1.5
6.5
2.6
12.3
1
0.9
0.3
5
3.6
1
2.9
0.9
1
1
4.7
0.9
25
4.5
2.7
2.1
0.8
0.8
0.4
11
15
48
8.9
0.3
11.8
1.9
0.7
0.9
0.8
2.5
1.6
0.9
2.1
0.2
4.6
87
400
1.5
1.2
2.1
1.5
1.1
1.7
0.8
3.9
400
2
1
1
0.7
1.1
4.9
0.7
0.6
5.9
1.3
41
21
17
3.1
91
0.8
0.4
1.2
0.9
29.1
37.2
0.7
0.2
1.5
1.2
1.8
1.4
1.2
1.8
2
0.3
8.9
0.4
1.1
92
88
57
0.9
16
1
0.6
1
0.6
4
3
2
2
3
3
4
4
3
4
3
1
4
4
3
4
11
23
11
1
9
9
82
50
14
33
31
118
40
1
2.5
20
0.4
1.2
0.8
0.6
3
0.9
7.6
10
1.1
60
3.9
1.7
0.7
1.3
0.7
79
0.5
186
1.5
0.3
1.4
0.7
0.7
1.5
4.8
4.8
3.8
4.4
7.2
1.9
1.5
32.4
29.8
0.4
3.4
0.6
0.8
0.9
1.8
52
15
1.1
1.7
34
134
11
2.6
1.6
1
0.9
0.7
0.8
0.6
9.6
7.1
4.4
9.3
6.1
38.1
3.7
21
24
72
5
3.9
45
5.2
46
290
5.7
2.4
0.5
0.6
6.7
59
0.4
4
0.7
1.5
1
0.8
0.4
4.7
5.9
5.9
0.5
143
4.5
9.4
14
7.4
1.8
10
153
81
0.9
1.3
23
1.1
155
0.9
7.1
1.2
165
400
24
400
0.7
25
66
18
20
2.4
0.8
0.8
1.3
1.2
37
1.4
0.4
1.1
0.9
1.6
0.6
0.5
0.7
1.7
0.7
1.1
0.5
0.8
1.3
0.6
0.5
0.6
0.7
0.5
0.5
0.3
0.4
0.8
0.1
0.7
1.1
0.3
1.2
0.9
0.7
0.9
0.9
1.3
1.2
1.2
2.6
0.5
0.8
0.6
1.2
1
1.1
0.4
2
1.1
0.8
0.5
0.5
0.9
1
1.7
9
4.9
12.9
0.4
1.4
1.1
1.2
1.4
0.3
1
1.2
24.7
1.3
1.8
0.4
1.1
0.6
8
5.7
25.4
91.4
350
1.3
3.7
1.3
2
2.7
1.4
0.5
1.4
1.2
1.2
1.5
0.4
1
1.2
0.6
0.8
2.4
33
0.7
0.9
0.5
0.8
111
1.3
0.5
0.7
12
1
3.5
0.3
0.5
6.9
1.1
0.8
0.3
0.7
0.6
24
0.7
2
0.6
0.1
0.4
5.6
21
2.1
5.8
0.5
0.3
2.7
0.5
18
0.8
30.3
1
0.6
1.5
0.9
1.1
0.9
3.8
0.7
1.2
1
18
1.5
1.6
0.7
0.6
4.1
33
8.4
2.6
3.7
0.8
59
6.2
1.2
0.6
0.8
0.5
1
16.7
0.8
0.3
7.1
1.2
21.4
2.3
0.4
16.2
20.9
47.7
6.1
14.1
55.9
92
24.4
400
137.2
140.6
364.6
241.1
256.2
105
24
400
265.5
3.9
2
2.8
1.8
1.9
3.5
30.4
14.3
4.5
43.1
162.3
4.9
3.2
1.2
13.5
5.5
181
0.9
0.9
0.8
0.6
0.7
0.8
2.4
1.2
1
0.7
15
22
1.3
40
219
0.6
26
278
54
0.5
165
0.5
1.2
0.8
40
15
25
84
400
0.5
1
1.1
10
0.5
1.1
100
0.3
1.1
0.9
400
0.9
1
67
0.8
0.9
0.6
0.6
0.7
0.8
1
1
0.8
0.9
0.7
0.6
1
400
0.6
1.8
1.1
0.9
0.7
9.3
6.5
0.6
10
10
157
0.8
6.5
6.3
0.5
0.6
0.5
0.5
0.7
1.7
0.3
0.3
0.7
0.5
0.6
0.3
0.8
0.4
1.4
0.7
0.5
0.2
0.4
0.9
0.7
0.7
0.3
0.6
0.4
0.2
0.7
0.5
0.6
0.8
0.5
0.7
0.2
0.8
0.3
0.7
0.5
0.6
0.5
0.4
0.6
0.6
0.2
0.5
0.8
0.4
0.3
0.7
0.7
0.3
0.3
0.4
0.3
1
0.5
0.3
0.4
0.5
0.5
0.5
0.6
0.5
3.1
0.8
7.6
93
2.8
0.9
0.3
1.3
1.7
2.2
0.8
2.6
18
1
6
400
27
3.2
1.7
85
106
193
1.5
125
47
61
400
3.4
3.7
1.1
1.8
29
89
1.8
69
1.1
5
55
1.5
0.7
2.6
0.5
0.8
0.7
0.9
0.7
24
11
59
18
3.2
98
1.1
11
15
0.6
0.6
6.9
0.5
0.7
3.9
164
26
0.6
0.6
1
2.7
0.5
0.4
1.2
0.7
2.3
0.7
376
0.5
2.5
1.4
0.4
0.4
0.3
0.2
0.6
0.2
63
0.6
0.6
0.9
0.9
0.1
0.4
0.2
0.6
0.9
1.8
0.7
1
0.4
1.3
3.2
0.5
0.9
12
0.4
400
400
0.6
87
0.8
400
200
400
400
23
18
1.3
0.5
77
0.6
0.8
300
64
64
2.9
0.3
0.8
0.3
0.5
0.6
0.6
0.8
0.7
18
0.9
0.9
93
1.1
22
66
66
1.4
1.6
