"TDF"
1.7
2.4
1.8
2.3
2.7
0.9
2.5
1.2
3.7
1.3
11
0.6
1.2
0.6
1.3
1.2
0.8
0.6
0.7
0.6
0.7
5.2
8.1
0.4
1.9
1.1
0.6
2.2
2
1.2
0.4
1
1.5
1.1
0.9
0.8
1.4
0.3
0.8
1.4
2
0.7
5.9
1.4
0.8
0.4
0.7
5
1
3.6
1.2
0.9
2
1.2
0.4
0.4
0.8
1.2
3.9
0.4
2
6.1
0.7
1.1
0.5
1.7
3.1
1
2.2
0.7
1.6
0.8
0.7
1.3
0.9
4.2
0.6
0.6
1.2
0.4
0.4
7
4.9
500
4.6
1.3
3.5
3
1.2
1.4
0.9
1.3
0.9
1.7
5.5
3.5
2.3
0.8
1.1
2.9
2.2
8
0.7
0.5
28
1.1
2
1.1
2.5
1.4
18
1.6
1
1.7
1.1
5.3
0.7
1.9
0.9
1.1
0.4
2.3
2.7
4.9
2.9
1.4
1.5
2.8
0.7
0.4
1.5
0.8
2.2
0.8
1.7
1.3
1.1
1.2
1.4
0.8
2.3
0.8
4.3
0.5
1
3
0.9
0.4
1.5
1.5
3.8
0.4
0.8
1.7
1.9
1.8
0.9
0.9
0.9
2.1
0.6
1.3
0.5
1.2
0.4
0.9
0.9
0.7
1.1
3.5
1.1
0.8
14
1
0.7
7.1
2.3
0.9
0.9
3.8
0.9
1
4.7
5.6
2.1
1.8
0.5
2.5
0.6
0.6
0.8
1.2
0.7
51
1
0.6
1
1.1
0.9
0.9
0.4
2.3
0.7
3.6
0.4
0.7
0.6
1.3
0.7
0.6
3.4
0.3
1.2
0.6
0.7
0.9
1.6
4.6
1.1
2.3
1.5
1
5.4
4.5
2.2
2.6
1.1
0.9
0.8
0.9
0.9
2.6
0.9
2.1
0.4
0.7
1
0.4
0.9
0.6
0.8
1
1.1
1
0.8
3.1
0.9
1
2.6
0.8
0.9
0.7
1
4
1.1
2.7
0.8
0.5
0.9
1
0.8
0.4
0.8
0.5
0.6
0.8
0.6
0.9
1
0.7
1.2
1.3
2.3
2.1
0.8
2.4
1.3
0.7
1
0.7
1.6
1.4
1
0.8
0.5
0.7
0.4
1.5
0.7
0.8
0.9
0.9
4
1.1
1
1.5
0.8
0.9
0.6
3.2
0.4
0.8
1.4
2.5
4.3
1.1
2
0.8
0.9
1.7
0.5
0.8
6.6
1
0.5
0.7
1.2
1.3
0.6
1.5
1.2
0.5
2.1
1.2
0.5
6.9
0.6
1.8
0.5
0.6
0.7
0.4
0.9
0.9
1.1
0.6
0.6
0.8
0.9
1.1
0.7
0.6
1.6
1.5
0.9
0.9
0.9
0.7
1.4
2
1.6
1.4
1
