"ATV"
9.2
75
38
10
9.5
37
1
37
360
96
1.8
32
20
21
38
90
15
0.7
1.2
1.8
38
0.9
7.1
78
29
79
5.6
57
6.3
16
2.8
62
2.8
2
18
1
9.1
1.7
0.8
19
260
2.2
22
3.4
68
11
1.1
15
26
15
27
3.1
2.2
7.3
6.6
54
4.2
0.6
4.5
2.3
2.4
12
34
141
7.4
2.3
1.5
1.4
1.2
170
2.2
6.1
0.9
1.2
14
2.5
5.4
2.6
30
21
1.9
4.8
0.7
0.6
0.6
2
2
3
3
3
4
4
4
5
5
5
5
6
6
6
8
9
10
12
14
14
16
22
27
29
30
35
41
82
2
2.7
5.9
1.2
1.2
3.8
0.6
19
14
1.4
10
2.3
0.8
0.9
13
0.6
10
1.1
5.5
67
0.9
0.7
5.5
16
1.9
1.3
1
1.1
1
5.4
2.4
10
1
2
2
6
1
3
0.9
6
0.7
1.5
4.1
49
1.1
0.9
1.9
2.9
141
6
7.9
0.8
31
2.7
3.8
9.9
0.6
12
1.5
0.8
8.8
0.7
7.6
22
0.7
22
0.7
2.3
0.7
5.2
0.6
4
14
2.1
6.9
0.7
0.8
7.4
1.8
3.4
1.4
0.8
8.8
4.7
2.6
1.4
1.1
65
1.5
0.9
0.9
19.3
0.7
1.3
15.2
1.9
27.4
2.5
2.6
10.8
17.2
0.9
0.7
0.9
1.3
1.2
0.9
2.5
43
1
8.4
41
1.5
11
0.6
1.3
1.2
61
26
0.7
45
1.3
0.8
17
0.6
1.3
0.7
1.5
1.1
1.1
0.9
0.9
0.5
400
1.6
0.8
9.8
6.7
5.8
3.5
10
0.9
2.8
87
5.8
1.6
0.4
0.8
1.6
2.9
0.7
5.2
51
10
25
0.6
0.6
110
0.6
1
0.9
16
53
187
3.1
28
0.7
70
0.9
0.5
0.8
0.9
3.3
2.6
1.3
23
1.1
120
400
2.1
53
1.9
400
32
112
58
3.2
6.8
7.3
4.1
60
0.6
1
32
63
63
10
0.5
1.3
0.3
0.6
0.4
0.9
1.2
0.7
13
3.1
208
29
0.8
8.1
30
38
0.8
76
